localIBGE_id;municipality;state;population;pop_share_above60;gdp_capita;city_exp_health_capita;public_doctors_capita;disease_deaths_capita;death_rate_hospitalization;infant_mortality;sewage_rating;water_service_rating;garbage_service_rating
4312138;Mato Castelhano;RS;2538;0,170428016;31,82439;1362,934354;3,940110323;5,516154452;0,045792011;0;;2,5;1,85
4312153;Mato Leitao;RS;4456;0,167579148;30,51942;968,0386759;4,488330341;6,059245961;0,056247972;27,02702703;4;8,191948609;3,934178029
4312179;Mato Queimado;RS;1665;0,338521401;28,08949;1764,112853;12,01201201;7,207207207;0,018293019;0;;7,694728083;3,05
4312203;Maximiliano de Almeida;RS;4443;0,203699897;20,32851;817,1592865;4,501462975;5,176682422;0,015879613;0;;5,847275675;3,454888089
4312252;Minas do Leao;RS;8045;0,141983017;18,86037;593,664982;2,486016159;9,322560597;0,082428902;9,523809524;;7,786670327;7,45
4312302;Miraguai;RS;4824;0,195381526;23,85958;921,0729415;4,145936982;6,633499171;0,045613547;0;;5,6;4,614852953
4312351;Montauri;RS;1466;0,262379421;34,7362;2106,855873;6,821282401;6,821282401;0,046732919;0;;8,293700132;3,05
4312385;Monte Belo do Sul;RS;2564;0,261737523;49,0246;1376,486069;3,900156006;9,360374415;0,083478919;0;;2,5;3,8
4312401;Montenegro;RS;64788;0,136227024;51,69539;825,8048344;0,926097425;6,621596592;0,046715585;8,791208791;;6,208042584;4,504656547
4312427;Mormaco;RS;3056;0,172894022;29,66042;1127,988848;3,272251309;4,908376963;0,061185291;0;;7,7948224;1,85
4312443;Morrinhos do Sul;RS;2979;0,172727273;18,97401;970,4186237;3,356831151;6,713662303;0,03106564;0;8,175505269;4,398277109;1,85
4312450;Morro Redondo;RS;6546;0,241157556;13,5908;641,1109181;4,582951421;10,38802322;0,09162451;0;;5,400395859;4,1
4312476;Morro Reuter;RS;6344;0,159154237;27,94296;902,8167639;0;5,989911728;0,037975682;0;;5,718341103;7,523631124
4312500;Mostardas;RS;12760;0,171410599;28,59929;680,179174;3,918495298;6,269592476;0,047045926;9,259259259;;5,692261002;4,721880628
4312609;Mucum;RS;4948;0,251302605;56,67581;1150,669525;4,042037187;9,498787389;0,043851776;0;;2,5;1,85
4312617;Muitos Capoes;RS;3151;0,150973508;119,32226;1863,58337;6,347191368;5,395112663;0,045142045;0;;5,594434382;3,755389761
4312625;Muliterno;RS;1888;0,151531151;23,21781;2269,992998;5,296610169;5,826271186;0,07632391;0;;4,693700132;3,8
4312658;Nao-Me-Toque;RS;17484;0,160684867;66,71781;682,1605817;2,287805994;7,492564631;0,041397801;13,69863014;;6,127481095;7,7
4312674;Nicolau Vergueiro;RS;1689;0,214326322;46,64431;1680,111332;5,920663114;6,512729426;0,054609671;0;;7,093700132;3,05
4312708;Nonoai;RS;11760;0,164579606;29,96475;639,3482117;2,551020408;8,418367347;0,022087013;4,901960784;;6,845919402;5,093584393
4312757;Nova Alvorada;RS;3586;0,174584669;46,11205;1217,156938;16,73173452;6,413831567;0,060227574;22,72727273;;8,396101595;3,957348703
4312807;Nova Araca;RS;4690;0,160018236;41,94014;925,8992367;2,132196162;6,396588486;0,056941499;13,88888889;;6,199686491;7,4
4312906;Nova Bassano;RS;9824;0,180398776;51,10173;858,8347588;4,071661238;6,005700326;0,032884396;0;;5,215163464;6,2
4312955;Nova Boa Vista;RS;1798;0,256908905;41,38197;1814,267314;5,561735261;10,01112347;0,021253877;0;;8,81760189;3,61187291
4313003;Nova Brescia;RS;3321;0,240985577;29,73336;1350,949515;3,011141223;6,323396567;0,024893683;0;;5,22463486;3,759365994
4313011;Nova Candelaria;RS;2710;0,197082889;48,25738;1542,738314;3,6900369;5,166051661;0,040543137;0;;8,912640284;3,379827089
4313037;Nova Esperanca do Sul;RS;5292;0,155233941;25,21275;816,8975661;3,779289494;5,66893424;0,03308896;20;;7,035760489;6,65
4313060;Nova Hartz;RS;21317;0,087583591;30,07072;470,3667472;2,345545809;5,816953605;0,085316895;4,329004329;4;5,93045464;5,297479294
